"Product ","Category ","Tax Category ","Location ","Strain ","Member Discount ","Requires Weighing ","Medicated ","Requires Inventory ","Default Vendor ","Default Usable ","Cost Per Unit ","Inventory Type ","Quantity On Hand ","Metrc Weighable ","Rec Tax Category ","Medical Label ","Recreational Label "
"
Mac1 JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","MAC 1","Yes","No","Yes","Yes","Self Made Farms, LLC.","1.2","1.58","Bud","","No","Tax Standard","Default Label","Default Label"
"
Tincture Mango 150mg","Tinctures","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Crown B Alchemy","0.15","7.5","Cannabinoid tinctures","","No","Tax Standard","Default Label","Default Label"
"!Basic Lighter $1","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","0.15","Accessory","136","No","Tax Exempt","Default Label","Default Label"
"!Battery Adj Button $15","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Buddies Wholesale LLC","","5.05","Accessory","478","No","Tax Exempt","Default Label","Default Label"
"!Battery Adj button $15 B","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Miracle Wholesale","","5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Battery Basic Draw $10","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","4","Accessory","19","No","Tax Exempt","Default Label","Default Label"
"!Battery Buddies Auto Draw $10","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Buddies Wholesale LLC","","5","Accessory","33","No","Tax Exempt","Default Label","Default Label"
"!Battery Palm $30","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","13.5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Battery PAX $30","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","","","15","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Battery Pocket Dabber","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","","","15","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Battery Silo $25","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","13.34","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Battery UGO V3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","","","8","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Butane $7","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2.63","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Chillum $4","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.15","Accessory","33","No","Tax Exempt","Default Label","Default Label"
"!Dab Adapter $15","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Buddies Wholesale LLC","","6.50","Accessory","7","No","Tax Exempt","Default Label","Default Label"
"!Dab Tool $5","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","0.99","Accessory","62","No","Tax Exempt","Default Label","Default Label"
"!Eco Grindr 025 $18","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","6","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Eco Grindr 025 $18 B","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","4","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Element Papers $4","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.86","Accessory","43","No","Tax Exempt","Default Label","Default Label"
"!Elements Cones $3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","1.16","Accessory","153","No","Tax Exempt","Default Label","Default Label"
"!Elements King Papers $3","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","0.08","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Banger $14","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Banger $25","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","12","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass banger $50","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","20","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Banger $6","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $100","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","40","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $110","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","44","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $150","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","","","58","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $170","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","70","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $280","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","104.95","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $40","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","11.5","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $45","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Boromancer Glass Art","","20","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $50","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Boromancer Glass Art","","20","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $60","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","17.67","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $65","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","25","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $70","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","PEM America","","24","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!glass bong $80","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","PEM America","","28","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong $85","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","PEM America","","30","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Bong UFO $250","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","85","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bowl $10","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","3.5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bowl $12","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Boromancer Glass Art","","4","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Glass Bowl $2","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","","","0.75","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bowl $8","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2.25","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bowl 14mm $18","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","7.95","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Bubbler $12","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","4","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Bubbler $120","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","50","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Bubbler $20","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","7","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Glass Bubbler $30","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","7","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Glass Bubbler $50","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","15","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Cleaner $20","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","S and T Solutions","","6.5","Accessory","7","No","Tax Exempt","Default Label","Default Label"
"!Glass dab cap $8","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2","Accessory","9","No","Tax Exempt","Default Label","Default Label"
"!Glass Dabrig $30","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","9.50","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Dabrig $60","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","24","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $10","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","3","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $14","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Boromancer Glass Art","","4.49","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $18","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","4.5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $2","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","0.6","Accessory","29","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $20","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","7.5","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $22","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","8.75","Accessory","2","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $30","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","PEM America","","4","Accessory","7","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $35","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","11.22","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $38","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","13.5","Accessory","1","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $40","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Boromancer Glass Art","","14.95","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe $8","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2","Accessory","11","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe B $25","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","10","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe B $30","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","8.33","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe B $40","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Boromancer Glass Art","","15","Accessory","3","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe C $25","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","5","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe Elephant $20","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","2.5","Accessory","8","No","Tax Exempt","Default Label","Default Label"
"!Glass Pipe Sherlock $60","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Marijuana Packaging","","15","Accessory","","No","Tax Exempt","Default Label","Default Label"
"!Glass Sherlock $15","Accessory","Tax Exempt","Apothca - Eugene","","Yes","No","No","Yes","Boromancer Glass Art","","7","Accessory","","No","Tax Exempt","Default Label","Default Label"
